title,author,length
Forge Your Future,Written by: A. P. J. Kalam,Length: 5 hrs and 37 mins
The Quick and Easy Way to Effective Speaking,Written by: Dale Carnegie,Length: 6 hrs and 39 mins
Ashwatthama,Written by: Kevin Missal,Length: 4 hrs and 26 mins
His Replaced Bride (Hindi Edition),Written by: Kajal Sharma,Length: 14 hrs and 4 mins
Meri Gita,Written by: Devdutt Pattanaik,Length: 7 hrs and 39 mins
You Are the Best Wife,Written by: Ajay K. Pandey,Length: 7 hrs and 29 mins
Get Organized: Do More in Less Time,"Written by: Ciara Conlon, The Great Courses",Length: 4 hrs and 45 mins
Kautilya Arthshastra (Hindi Edition),Written by: Chanakya,Length: 6 hrs
Satya Ke Sath Mere Prayog [My Experiment with Truth],Written by: M. K. Gandhi,Length: 22 hrs and 54 mins
Understanding the Mysteries of Human Behavior,"Written by: Mark Leary, The Great Courses",Length: 12 hrs and 11 mins
Miles to Run Before I Sleep,Written by: Sumedha Mahajan,Length: 4 hrs and 39 mins
21 Shreshth Kahaniyan Prem Chand (Hindi Edition),Written by: Munshi Premchand,Length: 7 hrs and 44 mins
The Art of Influencing People,Written by: Virender Kapoor,Length: 38 mins
Why I Am an Atheist and Other Works,Written by: Bhagat Singh,Length: 3 hrs
A History of British India,"Written by: The Great Courses, Hayden J. Bellenoit",Length: 12 hrs and 11 mins
Kamal Haasan,Written by: K. Hariharan,Length: 10 hrs and 17 mins
Panchatantra (Hindi Edition),Written by: Vishnu Sharma,Length: 5 hrs and 41 mins
Buy Yourself the Damn Flowers,Written by: Tam Kaur,Length: 7 hrs and 7 mins
"The Sandman, Act I (Hindi Edition)","Written by: Neil Gaiman, Dirk Maggs",Length: 11 hrs and 3 mins
Kalki Puran (Hindi Edition),Written by: Dr. Vinay,Length: 6 hrs and 10 mins
