title,author,length
From the Wizarding Archive,"J.K. Rowling,Evanna Lynch - foreword",Length: 8 hrs and 3 mins
His Replaced Bride (Hindi Edition),Kajal Sharma,Length: 14 hrs and 4 mins
The Quick and Easy Way to Effective Speaking,Dale Carnegie,Length: 6 hrs and 39 mins
Forge Your Future,A. P. J. Kalam,Length: 5 hrs and 37 mins
Meri Gita,Devdutt Pattanaik,Length: 7 hrs and 39 mins
Kautilya Arthshastra (Hindi Edition),Chanakya,Length: 6 hrs
Ashwatthama,Kevin Missal,Length: 4 hrs and 26 mins
The Art of Influencing People,Virender Kapoor,Length: 38 mins
Satya Ke Sath Mere Prayog [My Experiment with Truth],M. K. Gandhi,Length: 22 hrs and 54 mins
21 Shreshth Kahaniyan Prem Chand (Hindi Edition),Munshi Premchand,Length: 7 hrs and 44 mins
Why I Am an Atheist and Other Works,Bhagat Singh,Length: 3 hrs
Get Organized: Do More in Less Time,"Ciara Conlon,The Great Courses",Length: 4 hrs and 45 mins
The Third Eye (Hindi Edition),T. Lobsang Rampa,Length: 11 hrs and 47 mins
Kalki Puran (Hindi Edition),Dr. Vinay,Length: 6 hrs and 10 mins
"The Sandman, Act I (Hindi Edition)","Neil Gaiman,Dirk Maggs",Length: 11 hrs and 3 mins
The Guy Next Door (Hindi Edition),Nylla C,Length: 36 hrs and 43 mins
The Cut,Richard Armitage,Length: 10 hrs and 13 mins
Kamal Haasan,K. Hariharan,Length: 10 hrs and 17 mins
Garuda Puran,Dr. Vinay,Length: 6 hrs and 8 mins
You Are the Best Wife,Ajay K. Pandey,Length: 7 hrs and 29 mins
title,author,length
The Heartbreaker,Sara Cate,Length: 11 hrs and 15 mins
"Ascendance of a Bookworm: Part 1, Volume 2","Miya Kazuki,quof - translator",Length: 9 hrs and 20 mins
The Academy,Patrick Bet-David,Length: 11 hrs and 45 mins
Demon Hunter,Louisa Masters,Length: 6 hrs and 53 mins
Secrets of the Lost Ledgers,C.J. Archer,Length: 8 hrs and 17 mins
